fecha,provincia,capital,latitud,longitud,temperatura_media_c,temperatura_maxima_c,temperatura_minima_c,precipitacion_mm,humedad_relativa_pct,velocidad_viento_ms,radiacion_solar_kwh_m2,anio,mes_num,dia,mes,estacion,amplitud_termica_c,dia_con_helada
2020-01-01,Puno,Puno,-15.8402,-70.0219,8.84,14.24,5.18,3.24,73.68,4.54,15.01,2020,1,1,Enero,Verano,9.06,No
2020-01-02,Puno,Puno,-15.8402,-70.0219,8.49,13.28,5.39,2.83,75.88,6.16,15.76,2020,1,2,Enero,Verano,7.89,No
2020-01-03,Puno,Puno,-15.8402,-70.0219,10.05,16.02,5.3,3.27,69.58,3.66,18.32,2020,1,3,Enero,Verano,10.719999999999999,No
2020-01-04,Puno,Puno,-15.8402,-70.0219,9.15,15.39,5.32,6.75,71.48,3.14,17.86,2020,1,4,Enero,Verano,10.07,No
2020-01-05,Puno,Puno,-15.8402,-70.0219,9.57,18.0,3.4,3.04,61.2,3.83,19.38,2020,1,5,Enero,Verano,14.6,No
2020-01-06,Puno,Puno,-15.8402,-70.0219,9.65,19.54,0.92,0.01,42.61,4.11,26.96,2020,1,6,Enero,Verano,18.619999999999997,No
2020-01-07,Puno,Puno,-15.8402,-70.0219,10.36,19.96,1.25,0.0,45.78,3.47,23.58,2020,1,7,Enero,Verano,18.71,No
2020-01-08,Puno,Puno,-15.8402,-70.0219,11.17,20.22,2.3,0.0,37.88,2.14,30.33,2020,1,8,Enero,Verano,17.919999999999998,No
2020-01-09,Puno,Puno,-15.8402,-70.0219,10.7,16.59,4.82,0.0,55.01,2.54,24.44,2020,1,9,Enero,Verano,11.77,No
2020-01-10,Puno,Puno,-15.8402,-70.0219,8.77,13.0,5.82,0.0,62.87,1.7,22.16,2020,1,10,Enero,Verano,7.18,No
2020-01-11,Puno,Puno,-15.8402,-70.0219,10.04,16.11,6.01,0.66,56.36,2.67,20.12,2020,1,11,Enero,Verano,10.1,No
2020-01-12,Puno,Puno,-15.8402,-70.0219,9.04,14.46,4.03,10.57,69.97,5.05,22.71,2020,1,12,Enero,Verano,10.43,No
2020-01-13,Puno,Puno,-15.8402,-70.0219,9.55,15.24,4.72,4.63,69.24,4.31,17.28,2020,1,13,Enero,Verano,10.52,No
2020-01-14,Puno,Puno,-15.8402,-70.0219,10.06,15.45,5.89,0.76,70.7,3.7,16.37,2020,1,14,Enero,Verano,9.559999999999999,No
2020-01-15,Puno,Puno,-15.8402,-70.0219,10.05,15.97,5.12,0.34,69.94,4.36,14.48,2020,1,15,Enero,Verano,10.850000000000001,No
2020-01-16,Puno,Puno,-15.8402,-70.0219,10.0,15.79,5.66,0.12,69.12,6.06,20.92,2020,1,16,Enero,Verano,10.129999999999999,No
2020-01-17,Puno,Puno,-15.8402,-70.0219,7.9,11.59,5.06,0.22,74.76,6.55,23.44,2020,1,17,Enero,Verano,6.53,No
2020-01-18,Puno,Puno,-15.8402,-70.0219,9.29,15.37,3.73,0.0,69.05,5.62,21.29,2020,1,18,Enero,Verano,11.639999999999999,No
2020-01-19,Puno,Puno,-15.8402,-70.0219,10.12,15.59,5.92,2.1,71.17,4.9,25.21,2020,1,19,Enero,Verano,9.67,No
2020-01-20,Puno,Puno,-15.8402,-70.0219,11.23,17.38,5.94,0.98,65.3,2.6,18.2,2020,1,20,Enero,Verano,11.439999999999998,No
2020-01-21,Puno,Puno,-15.8402,-70.0219,8.78,11.46,5.67,3.26,69.43,2.25,17.04,2020,1,21,Enero,Verano,5.790000000000001,No
2020-01-22,Puno,Puno,-15.8402,-70.0219,8.67,13.72,4.82,2.64,74.14,4.19,18.72,2020,1,22,Enero,Verano,8.9,No
2020-01-23,Puno,Puno,-15.8402,-70.0219,9.07,15.46,2.9,3.09,72.96,4.25,20.19,2020,1,23,Enero,Verano,12.56,No
2020-01-24,Puno,Puno,-15.8402,-70.0219,10.89,16.34,7.05,1.18,71.86,3.46,27.19,2020,1,24,Enero,Verano,9.29,No
2020-01-25,Puno,Puno,-15.8402,-70.0219,10.89,15.75,6.9,0.72,70.77,3.91,26.43,2020,1,25,Enero,Verano,8.85,No
2020-01-26,Puno,Puno,-15.8402,-70.0219,11.44,17.13,7.72,0.98,63.64,3.12,26.31,2020,1,26,Enero,Verano,9.41,No
2020-01-27,Puno,Puno,-15.8402,-70.0219,10.94,16.45,6.9,7.95,63.87,3.63,22.25,2020,1,27,Enero,Verano,9.549999999999999,No
2020-01-28,Puno,Puno,-15.8402,-70.0219,10.44,18.49,3.08,0.14,59.36,2.81,27.56,2020,1,28,Enero,Verano,15.409999999999998,No
2020-01-29,Puno,Puno,-15.8402,-70.0219,9.66,15.91,4.51,0.0,66.95,3.1,23.86,2020,1,29,Enero,Verano,11.4,No
2020-01-30,Puno,Puno,-15.8402,-70.0219,8.43,18.21,3.02,0.0,68.46,2.97,18.71,2020,1,30,Enero,Verano,15.190000000000001,No
2020-01-31,Puno,Puno,-15.8402,-70.0219,9.32,15.92,2.78,0.13,65.36,2.08,18.59,2020,1,31,Enero,Verano,13.14,No
2020-02-01,Puno,Puno,-15.8402,-70.0219,10.82,19.29,4.07,0.01,58.24,3.47,15.69,2020,2,1,Febrero,Verano,15.219999999999999,No
2020-02-02,Puno,Puno,-15.8402,-70.0219,9.67,14.22,3.94,8.86,72.79,2.58,16.08,2020,2,2,Febrero,Verano,10.280000000000001,No
2020-02-03,Puno,Puno,-15.8402,-70.0219,9.12,15.49,2.58,18.38,73.54,3.07,17.41,2020,2,3,Febrero,Verano,12.91,No
2020-02-04,Puno,Puno,-15.8402,-70.0219,8.1,14.96,2.84,15.74,76.57,1.84,19.16,2020,2,4,Febrero,Verano,12.120000000000001,No
2020-02-05,Puno,Puno,-15.8402,-70.0219,10.0,16.15,5.33,2.05,71.58,3.63,21.67,2020,2,5,Febrero,Verano,10.819999999999999,No
2020-02-06,Puno,Puno,-15.8402,-70.0219,8.68,13.74,3.34,2.5,74.4,4.04,17.99,2020,2,6,Febrero,Verano,10.4,No
2020-02-07,Puno,Puno,-15.8402,-70.0219,9.06,16.09,2.06,7.14,73.96,4.15,17.8,2020,2,7,Febrero,Verano,14.03,No
2020-02-08,Puno,Puno,-15.8402,-70.0219,8.77,12.67,5.41,12.87,78.32,3.14,12.26,2020,2,8,Febrero,Verano,7.26,No
2020-02-09,Puno,Puno,-15.8402,-70.0219,9.19,16.22,5.23,5.44,75.88,3.96,19.56,2020,2,9,Febrero,Verano,10.989999999999998,No
2020-02-10,Puno,Puno,-15.8402,-70.0219,8.9,14.98,5.18,4.91,76.97,5.77,19.91,2020,2,10,Febrero,Verano,9.8,No
2020-02-11,Puno,Puno,-15.8402,-70.0219,9.66,15.82,5.32,2.28,73.85,4.64,19.26,2020,2,11,Febrero,Verano,10.5,No
2020-02-12,Puno,Puno,-15.8402,-70.0219,9.17,14.09,6.01,3.33,77.63,4.48,17.51,2020,2,12,Febrero,Verano,8.08,No
2020-02-13,Puno,Puno,-15.8402,-70.0219,9.25,15.32,4.58,5.37,75.61,4.07,17.65,2020,2,13,Febrero,Verano,10.74,No
2020-02-14,Puno,Puno,-15.8402,-70.0219,9.06,12.85,5.75,3.25,79.19,2.85,14.83,2020,2,14,Febrero,Verano,7.1,No
2020-02-15,Puno,Puno,-15.8402,-70.0219,9.94,16.35,3.33,6.57,73.4,3.95,19.18,2020,2,15,Febrero,Verano,13.020000000000001,No
2020-02-16,Puno,Puno,-15.8402,-70.0219,10.72,17.0,5.27,0.47,68.97,3.73,21.51,2020,2,16,Febrero,Verano,11.73,No
2020-02-17,Puno,Puno,-15.8402,-70.0219,9.56,15.35,4.6,1.27,73.81,3.25,20.75,2020,2,17,Febrero,Verano,10.75,No
2020-02-18,Puno,Puno,-15.8402,-70.0219,9.94,15.98,4.62,0.08,74.44,4.87,18.52,2020,2,18,Febrero,Verano,11.36,No
2020-02-19,Puno,Puno,-15.8402,-70.0219,10.88,16.38,6.16,0.11,69.91,3.19,19.47,2020,2,19,Febrero,Verano,10.219999999999999,No
2020-02-20,Puno,Puno,-15.8402,-70.0219,9.54,14.7,6.11,2.78,72.63,3.68,12.82,2020,2,20,Febrero,Verano,8.59,No
2020-02-21,Puno,Puno,-15.8402,-70.0219,7.49,12.36,3.3,11.18,79.72,4.28,8.85,2020,2,21,Febrero,Verano,9.059999999999999,No
2020-02-22,Puno,Puno,-15.8402,-70.0219,8.56,14.04,5.0,3.86,77.77,5.45,19.4,2020,2,22,Febrero,Verano,9.04,No
2020-02-23,Puno,Puno,-15.8402,-70.0219,9.78,17.6,4.86,3.91,71.64,2.94,19.55,2020,2,23,Febrero,Verano,12.740000000000002,No
2020-02-24,Puno,Puno,-15.8402,-70.0219,8.47,15.93,3.65,25.94,75.72,2.8,19.59,2020,2,24,Febrero,Verano,12.28,No
2020-02-25,Puno,Puno,-15.8402,-70.0219,10.88,17.89,4.9,23.26,67.96,3.53,19.36,2020,2,25,Febrero,Verano,12.99,No
2020-02-26,Puno,Puno,-15.8402,-70.0219,8.16,11.5,4.64,13.12,84.43,4.13,17.41,2020,2,26,Febrero,Verano,6.86,No
2020-02-27,Puno,Puno,-15.8402,-70.0219,9.15,17.45,2.42,11.73,69.91,2.05,19.62,2020,2,27,Febrero,Verano,15.03,No
2020-02-28,Puno,Puno,-15.8402,-70.0219,8.39,14.55,2.12,0.88,76.2,2.33,19.59,2020,2,28,Febrero,Verano,12.43,No
2020-02-29,Puno,Puno,-15.8402,-70.0219,9.87,14.39,6.66,0.0,77.07,3.98,17.5,2020,2,29,Febrero,Verano,7.73,No
2020-03-01,Puno,Puno,-15.8402,-70.0219,9.59,15.1,5.84,0.02,71.92,3.57,24.38,2020,3,1,Marzo,Otoño,9.26,No
2020-03-02,Puno,Puno,-15.8402,-70.0219,9.7,15.4,5.4,8.96,71.08,2.47,20.32,2020,3,2,Marzo,Otoño,10.0,No
2020-03-03,Puno,Puno,-15.8402,-70.0219,9.51,17.14,1.93,0.63,60.89,2.97,29.06,2020,3,3,Marzo,Otoño,15.21,No
2020-03-04,Puno,Puno,-15.8402,-70.0219,8.45,14.78,3.56,1.07,77.3,2.82,18.87,2020,3,4,Marzo,Otoño,11.219999999999999,No
2020-03-05,Puno,Puno,-15.8402,-70.0219,9.73,16.51,4.74,0.0,69.03,2.5,25.95,2020,3,5,Marzo,Otoño,11.770000000000001,No
2020-03-06,Puno,Puno,-15.8402,-70.0219,9.39,15.41,4.81,0.62,71.69,3.14,22.97,2020,3,6,Marzo,Otoño,10.600000000000001,No
2020-03-07,Puno,Puno,-15.8402,-70.0219,9.8,15.18,5.26,0.09,71.09,2.93,20.9,2020,3,7,Marzo,Otoño,9.92,No
2020-03-08,Puno,Puno,-15.8402,-70.0219,10.4,16.2,6.73,0.0,65.67,3.77,27.33,2020,3,8,Marzo,Otoño,9.469999999999999,No
2020-03-09,Puno,Puno,-15.8402,-70.0219,9.35,15.04,5.03,0.06,63.28,4.83,18.39,2020,3,9,Marzo,Otoño,10.009999999999998,No
2020-03-10,Puno,Puno,-15.8402,-70.0219,8.59,13.81,4.41,0.31,69.87,3.63,19.73,2020,3,10,Marzo,Otoño,9.4,No
2020-03-11,Puno,Puno,-15.8402,-70.0219,8.75,14.2,3.75,0.3,68.48,2.23,20.84,2020,3,11,Marzo,Otoño,10.45,No
2020-03-12,Puno,Puno,-15.8402,-70.0219,9.04,14.49,5.45,3.83,74.62,4.44,16.44,2020,3,12,Marzo,Otoño,9.04,No
2020-03-13,Puno,Puno,-15.8402,-70.0219,8.96,13.81,5.43,43.53,74.45,3.67,17.95,2020,3,13,Marzo,Otoño,8.38,No
2020-03-14,Puno,Puno,-15.8402,-70.0219,9.69,14.78,5.52,8.41,72.79,3.61,20.99,2020,3,14,Marzo,Otoño,9.26,No
2020-03-15,Puno,Puno,-15.8402,-70.0219,9.59,15.38,5.33,0.52,69.79,3.78,19.29,2020,3,15,Marzo,Otoño,10.05,No
2020-03-16,Puno,Puno,-15.8402,-70.0219,8.43,14.77,3.39,5.76,77.82,5.03,18.32,2020,3,16,Marzo,Otoño,11.379999999999999,No
2020-03-17,Puno,Puno,-15.8402,-70.0219,9.1,14.9,4.44,18.67,74.88,4.1,18.37,2020,3,17,Marzo,Otoño,10.46,No
2020-03-18,Puno,Puno,-15.8402,-70.0219,9.16,14.56,4.29,8.47,75.75,3.55,17.13,2020,3,18,Marzo,Otoño,10.27,No
2020-03-19,Puno,Puno,-15.8402,-70.0219,9.17,14.07,5.19,0.4,75.73,2.52,18.95,2020,3,19,Marzo,Otoño,8.879999999999999,No
2020-03-20,Puno,Puno,-15.8402,-70.0219,8.9,14.68,3.51,0.7,75.04,3.05,17.44,2020,3,20,Marzo,Otoño,11.17,No
