fecha,provincia,capital,latitud,longitud,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS10M,ALLSKY_SFC_SW_DWN
20200101,Puno,Puno,-15.8402,-70.0219,8.84,14.24,5.18,3.24,73.68,4.54,15.01
20200102,Puno,Puno,-15.8402,-70.0219,8.49,13.28,5.39,2.83,75.88,6.16,15.76
20200103,Puno,Puno,-15.8402,-70.0219,10.05,16.02,5.3,3.27,69.58,3.66,18.32
20200104,Puno,Puno,-15.8402,-70.0219,9.15,15.39,5.32,6.75,71.48,3.14,17.86
20200105,Puno,Puno,-15.8402,-70.0219,9.57,18.0,3.4,3.04,61.2,3.83,19.38
20200106,Puno,Puno,-15.8402,-70.0219,9.65,19.54,0.92,0.01,42.61,4.11,26.96
20200107,Puno,Puno,-15.8402,-70.0219,10.36,19.96,1.25,0.0,45.78,3.47,23.58
20200108,Puno,Puno,-15.8402,-70.0219,11.17,20.22,2.3,0.0,37.88,2.14,30.33
20200109,Puno,Puno,-15.8402,-70.0219,10.7,16.59,4.82,0.0,55.01,2.54,24.44
20200110,Puno,Puno,-15.8402,-70.0219,8.77,13.0,5.82,0.0,62.87,1.7,22.16
20200111,Puno,Puno,-15.8402,-70.0219,10.04,16.11,6.01,0.66,56.36,2.67,20.12
20200112,Puno,Puno,-15.8402,-70.0219,9.04,14.46,4.03,10.57,69.97,5.05,22.71
20200113,Puno,Puno,-15.8402,-70.0219,9.55,15.24,4.72,4.63,69.24,4.31,17.28
20200114,Puno,Puno,-15.8402,-70.0219,10.06,15.45,5.89,0.76,70.7,3.7,16.37
20200115,Puno,Puno,-15.8402,-70.0219,10.05,15.97,5.12,0.34,69.94,4.36,14.48
20200116,Puno,Puno,-15.8402,-70.0219,10.0,15.79,5.66,0.12,69.12,6.06,20.92
20200117,Puno,Puno,-15.8402,-70.0219,7.9,11.59,5.06,0.22,74.76,6.55,23.44
20200118,Puno,Puno,-15.8402,-70.0219,9.29,15.37,3.73,0.0,69.05,5.62,21.29
20200119,Puno,Puno,-15.8402,-70.0219,10.12,15.59,5.92,2.1,71.17,4.9,25.21
20200120,Puno,Puno,-15.8402,-70.0219,11.23,17.38,5.94,0.98,65.3,2.6,18.2
20200121,Puno,Puno,-15.8402,-70.0219,8.78,11.46,5.67,3.26,69.43,2.25,17.04
20200122,Puno,Puno,-15.8402,-70.0219,8.67,13.72,4.82,2.64,74.14,4.19,18.72
20200123,Puno,Puno,-15.8402,-70.0219,9.07,15.46,2.9,3.09,72.96,4.25,20.19
20200124,Puno,Puno,-15.8402,-70.0219,10.89,16.34,7.05,1.18,71.86,3.46,27.19
20200125,Puno,Puno,-15.8402,-70.0219,10.89,15.75,6.9,0.72,70.77,3.91,26.43
20200126,Puno,Puno,-15.8402,-70.0219,11.44,17.13,7.72,0.98,63.64,3.12,26.31
20200127,Puno,Puno,-15.8402,-70.0219,10.94,16.45,6.9,7.95,63.87,3.63,22.25
20200128,Puno,Puno,-15.8402,-70.0219,10.44,18.49,3.08,0.14,59.36,2.81,27.56
20200129,Puno,Puno,-15.8402,-70.0219,9.66,15.91,4.51,0.0,66.95,3.1,23.86
20200130,Puno,Puno,-15.8402,-70.0219,8.43,18.21,3.02,0.0,68.46,2.97,18.71
20200131,Puno,Puno,-15.8402,-70.0219,9.32,15.92,2.78,0.13,65.36,2.08,18.59
20200201,Puno,Puno,-15.8402,-70.0219,10.82,19.29,4.07,0.01,58.24,3.47,15.69
20200202,Puno,Puno,-15.8402,-70.0219,9.67,14.22,3.94,8.86,72.79,2.58,16.08
20200203,Puno,Puno,-15.8402,-70.0219,9.12,15.49,2.58,18.38,73.54,3.07,17.41
20200204,Puno,Puno,-15.8402,-70.0219,8.1,14.96,2.84,15.74,76.57,1.84,19.16
20200205,Puno,Puno,-15.8402,-70.0219,10.0,16.15,5.33,2.05,71.58,3.63,21.67
20200206,Puno,Puno,-15.8402,-70.0219,8.68,13.74,3.34,2.5,74.4,4.04,17.99
20200207,Puno,Puno,-15.8402,-70.0219,9.06,16.09,2.06,7.14,73.96,4.15,17.8
